country,model,global_smape_mean,global_mae_mean,global_rmse_mean,tp_smape_mean,tp_mae_mean,tp_rmse_mean
Australia,prophet,134.02361062042644,13509.740747446403,17512.887480611364,142.21778852061516,13828.764549633155,19042.119651792505
Brazil,prophet,152.96649188480376,24870.14922683867,29240.17252192745,156.33676627330203,26529.480735880265,30572.994008490463
China,prophet,71.28501990827756,9725.467706007086,10766.851153674532,74.23949136801099,9957.474541637132,11049.757026102729
Germany,prophet,101.71383017440326,29098.937460547582,32981.421149487964,105.06574010266638,31819.52945618252,35458.22641226167
India,prophet,199.5078562758516,30444.15546405305,31019.738607906285,199.56654545298264,27617.91519693076,28380.11336269632
United Kingdom,prophet,187.5703520903917,14677.909363976742,18315.44439844283,191.114604281956,15097.709817186593,18088.567913970797
US,prophet,87.34465481438954,65505.76905036788,70936.28789777683,90.32584276754872,64851.38872906513,70690.3303930782
Australia,sarima,86.36936837854608,4333.275419399116,6262.135459801636,106.20530008348447,4712.278319260997,6919.424638830358
Brazil,sarima,124.92247804425756,12348.226163347184,15582.287202045763,124.61757174802698,13072.392030764977,15923.390753158294
China,sarima,45.25693493385418,5310.070319132056,6278.328756597171,48.99600972200319,4817.937059847062,5768.1271763185205
Germany,sarima,79.33064043034773,12390.609901316868,14656.562187954914,75.52289608570456,11491.7759189291,13749.856305895466
India,sarima,74.6719800970644,1118.2589463492448,1321.507521612441,79.35163658409637,1248.8738579066676,1565.6099254882315
United Kingdom,sarima,165.42675012152196,4869.89316540528,8056.285277267899,162.13999919022092,3943.1582060212254,6277.962886352007
US,sarima,51.210789625494456,16722.58769797838,20286.44993576076,45.95957628727309,15658.433231370806,19462.829518416347
Australia,svr,144.917653373166,26462.25509047504,29206.467644004435,154.20047671447142,27673.868335675736,30103.160146133872
Brazil,svr,117.86094621120628,14511.352693491302,16964.438051851786,121.00247137380184,15093.342820279982,17545.349980482035
China,svr,114.69738360039608,11899.991880594982,12806.77433578818,114.88662382205476,11891.088535733834,12737.993441071529
Germany,svr,75.93534136589206,10163.821969520555,12618.720315724297,69.82647962791559,8915.16254877175,11362.952196802598
India,svr,80.68373808067861,895.2625713087344,1088.2409447704597,94.64730773880572,1124.4210380297718,1404.5837243334136
United Kingdom,svr,172.9025689964159,7325.830601481924,9389.86469515692,175.20989795561135,6732.8893227097615,7885.262262572813
US,svr,46.794956769665205,17261.694578645776,20785.661583843736,46.97867287352671,17168.956213521913,20924.662562595528
