model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
prophet,Brazil,NA,14,new_cases,26827.32550773584,36731.83146489324,157.6978361615903,26827.325507735837,18938.468588876425,12811.836375162977,36420.93759895115,18675.342936568308,10276.042124923579,75451.1034691514,31623.528566033783,22583.210612393945,16032.283595059853,43388.45457679788,18686.355551539906,13824.052339011101,76431.18065449651,157.6978361615903,159.3492139192552,146.17106997658237,170.95951083346415,18.105902207925,114.94342116515064,199.30161809999817,no_exog
prophet,Brazil,NA,28,new_cases,27455.013997716997,37598.86545355509,150.54123371320705,27455.013997716997,20579.599317060543,14053.205594117311,29595.180120376233,19180.359212684896,7818.91850836769,77256.20219261036,32066.310732684124,23927.386973219236,16720.94916446756,37966.74775815108,19632.279526063317,10484.837651877457,79119.0053615629,150.54123371320705,148.8023836039181,133.76368440873603,161.19142983873968,23.988937974814533,107.56300141613606,199.56333441410246,death_all
prophet,Brazil,NA,28,new_cases,25801.074902751483,36320.303661362035,149.01042487780697,25801.07490275148,18531.21780425679,11792.242252141314,29164.60176122653,19098.193280539756,6857.240418748924,76185.40354101021,30520.4982894406,25109.573141286535,14001.411393929207,38747.00427865745,19689.175762784027,9651.188383207955,77814.93509036818,149.0104248778069,148.0547505616074,132.06781796935675,167.68997057923534,21.485061178922255,112.15446717164308,190.74674343499456,death_mobility
prophet,Brazil,NA,28,new_cases,22569.509878428667,32497.931483440127,138.33042904206843,22569.509878428664,16556.719629075786,7805.441948588955,29128.27452081321,17359.308453153815,5060.310648978858,65349.99484296688,26854.093817749526,22870.04355637219,9690.8852542009,39298.50265020712,18302.272971679664,5804.3106350186545,67218.45217750379,138.3304290420684,136.9614523046588,127.56515517433921,151.0174217705238,12.578879163458792,115.97522748606082,163.1133213765746,death_recovered
prophet,Brazil,NA,28,new_cases,25918.305052912336,36931.53787794905,139.34546438651714,25918.305052912332,20339.80336927025,7561.576977678485,30938.456632809677,20629.950313681336,5155.140418114454,75689.96598079386,30088.01168681292,25108.158799032015,9208.143330475461,39070.85024256141,21416.116425827397,6470.948693167911,76978.86967262985,139.3454643865171,140.8982651335462,130.7347219249323,149.41527790106835,12.409256613958963,112.2154748433626,166.12004854109085,death_stringency
prophet,Brazil,NA,28,new_cases,29672.03067861414,40062.24226177077,163.21468247248555,29672.030678614137,25103.550515661933,14132.980961346828,35554.97379155671,18913.98586494437,11585.738905588483,76104.25364817907,35202.60725301713,32039.34163395349,17650.62123771096,46116.27335171963,19124.845035467282,14942.884320017558,78792.53419212099,163.21468247248555,161.67092438631266,150.5752930283486,178.71767726926205,17.424895159904757,124.47017780901326,196.2738541195599,no_exog
prophet,Brazil,NA,7,new_cases,22970.28044690817,30905.94067334418,143.16538628377126,22970.280446908168,17528.50688349628,11329.73420034414,30103.996366373074,16622.920101805197,3692.8465379027134,67669.80763092054,25924.639171962423,19769.42345797056,13651.462929620784,34043.27854797349,16825.286110726956,4260.37783161465,67854.34054233343,143.16538628377126,145.65297021348402,120.38761196771948,159.10290652688968,29.885325316812686,66.45399761,200,death_all
prophet,Brazil,NA,7,new_cases,21712.1225388084,30172.637347734184,139.02575130116082,21712.122538808402,16061.277217272436,8735.83079698494,27300.313912761354,16899.81637382563,3313.6996686710545,69881.81864962804,24858.35493655762,18381.675440055693,11308.333575587067,32380.797729018286,17101.17640298483,4972.620983868989,70153.70430354642,139.02575130116085,144.64714370884516,119.60364187362696,156.81649640650863,25.903014149104262,65.88447581588952,200,death_mobility
prophet,Brazil,NA,7,new_cases,19715.092074795528,27962.08425802347,132.88747688687502,19715.09207479553,13045.018405898489,6986.194681752978,28054.93995329849,15787.880874058996,4043.5160170534896,62447.204172167294,22488.0777171235,14838.257425243784,8177.134781962364,32552.661583048564,16618.198357265377,4433.331619719191,62603.62463036529,132.88747688687502,131.66180951606606,121.2832907672358,149.69542505574736,21.009598801824236,72.97214333956332,179.24572306330938,death_recovered
prophet,Brazil,NA,7,new_cases,21930.782801463807,30711.917240834944,133.1842207082115,21930.78280146381,16355.826622834573,7343.271785777619,30315.53526458098,17713.021296201357,3336.879787044316,68549.74489537442,24683.50197807786,18989.15770010533,8952.179781745639,34823.5348216392,18274.20561080894,3929.609511306852,68747.56914658022,133.18422070821146,134.39617171501317,119.22902502019656,148.84206583542357,20.035308675383785,65.03416354157797,178.97837737100468,death_stringency
