model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,method
epilearn_fullcurve,Brazil,NA,28,new_cases,23280.648966054978,44795.754025784525,136.17769942347758,23280.648966054974,13704.39430743196,8162.198565371351,27290.153852128213,26705.991732999693,4726.225472589509,162307.58496158573,29569.609998437205,16999.98447647228,10202.054063217585,35117.434010860685,33649.63214180674,6131.798402211173,215059.2469564679,136.17769942347758,133.31049127868187,120.96595991008175,151.90013340478689,23.629926723591566,82.4438052968459,195.35152783759708,94,80,45.98,"(81.64513384236956, 4.616695302008708, 0.31090554943027, 178.5444334439714, 86.48852441953716, 0.015494237782599734, 179.92379121552696)",94,80,45.98,"(81.64513384236956, 4.616695302008708, 0.31090554943027, 178.5444334439714, 86.48852441953716, 0.015494237782599734, 179.92379121552696)",0.4559386973180076,0.42911877394636017,8.901408450704226,6.71223066911359,8,mean
epilearn_fullcurve,Brazil,NA,7,new_cases,17894.719585999104,29198.983002258312,133.67579747108732,17894.719585999104,12244.382554290989,7635.55059278149,25865.388382903282,14200.457946189184,2921.588359663822,83058.9562316519,22486.55848602079,14256.464936919036,9647.028515142483,30747.001801514754,18626.19917806465,3615.429121403788,97031.36340622118,133.6757974710873,132.665900941438,109.34771890702109,158.63741204827406,31.27127709285231,65.33454339994947,183.33218530696232,35,30,46.15,"(82.57192297931988, 3.5435132785101593, 0.08894336284596939, 178.4079187450572, 87.99165191032405, 0.00404094957877626, 179.8907094197394)",100,74,42.53,"(76.59937596022164, 2.6999422158970914, 0.057227753628535785, 178.84019694723537, 87.058772182009, 0.0010929941871634487, 179.92034711498562)",0.5384615384615384,0.4461538461538462,0.9,1.0938700673013824,1,mean
epilearn_fullcurve,Brazil,NA,14,new_cases,17341.234863027956,26711.713627502475,134.15635994172345,17341.23486302796,12202.885051377209,7856.102245592976,25595.43098988661,12095.99879321601,4159.324217291725,54932.51736840933,21815.588020582578,14808.043156441629,9958.675393859638,32363.112767115257,15414.14169630977,4770.5351965634045,67847.19367305066,134.15635994172348,131.94280823096457,115.82422596860599,154.19413913113473,26.391555483537335,81.04756896827759,195.90918359808768,111,21,15.91,"(28.76545110691692, 0.5112019783326409, 0.16443500705906666, 2.296852807963097, 62.31427906660124, 0.0008722464383110678, 179.6679126630106)",148,26,14.94,"(27.57570700078025, 0.5156829012846005, 0.14163490692310282, 2.579473752834585, 60.802050381804484, 0.0008722464383110678, 179.6679126630106)",0.5681818181818181,0.3712121212121212,4.491228070175438,3.3600744412328973,5,median
epilearn_fullcurve,Brazil,NA,28,new_cases,17154.971936158512,26419.191269760417,137.76580006968865,17154.971936158516,12334.803152960332,7905.4697400144905,24986.57250871006,11455.470940487057,4681.991209171852,59927.362073151635,22058.378703219467,16105.707501540264,10165.177553933449,34067.80953555523,14539.655990893976,6144.525298545389,68883.92384352733,137.76580006968865,133.18838387605484,117.21542921783531,159.42353158341103,26.060006996754748,83.0133420622053,196.98383976427723,172,2,1.15,"(2.9163298459627645, 0.4720873378753181, 0.2869896649009329, 0.8742213225759763, 18.773251791446125, 0.08307876280736062, 177.69619595042982)",172,2,1.15,"(2.9163298459627645, 0.4720873378753181, 0.2869896649009329, 0.8742213225759763, 18.773251791446125, 0.08307876280736062, 177.69619595042982)",0.47126436781609193,0.421455938697318,8.03623188405797,6.931794324630239,6,median
epilearn_fullcurve,Brazil,NA,7,new_cases,17235.344507628895,26603.01280487683,135.6693526573402,17235.344507628895,12466.612998380575,7599.071188708891,26926.284961274243,12316.592040259859,2900.656862524556,60027.497666423566,21401.199740028493,14292.514390762082,9626.26910633202,30797.567466319324,15802.18149445971,3569.6482507004926,67685.16665852504,135.66935265734023,133.7989224217416,109.52115841504305,160.68541535606403,31.913834573440766,65.7606914368955,186.64984157308686,38,27,41.54,"(74.74836934289326, 1.7241924658075425, 0.08334645041703538, 178.51281192604392, 87.12020461464041, 0.0027379497755050113, 179.8621145716511)",106,68,39.08,"(70.04035387147663, 1.5005111872081294, 0.04076480388484671, 178.66743113182844, 86.2476908743403, 0.0007423019825839231, 179.8621145716511)",0.5384615384615384,0.4461538461538462,0.8,1.0635010497214474,0.5,median
epilearn_fullcurve,Brazil,NA,14,new_cases,17624.302430008524,27228.895117071348,133.6440479691617,17624.302430008527,12374.923832125101,7953.496993470041,26267.830157423996,12463.29085838486,4159.922155734176,60495.43536501318,22152.756408718687,14992.390440402523,9930.223322481572,32366.758924603593,15832.501785644768,4746.4882529966,70776.35084207014,133.64404796916168,131.48678326943383,116.40426452303888,152.39837866553427,26.110965903649806,80.69107977468396,195.80902240712527,97,35,26.52,"(48.154833987477545, 0.8697246933069447, 0.13854210538191294, 173.0067050622199, 77.42915484492148, 0.0002653279796449783, 179.76960478489383)",127,47,27.01,"(48.98557404087986, 0.895930256357854, 0.10292552999628586, 174.30985138819656, 77.86043347965462, 0.0002653279796449783, 179.76960478489383)",0.5833333333333333,0.3560606060606061,4.418181818181818,3.177996743180097,4,weightedmedian
epilearn_fullcurve,Brazil,NA,28,new_cases,17682.11846555444,27294.327680992486,137.0366234075015,17682.11846555444,12852.911994118956,7937.899965220339,25876.257435033993,12148.39943781269,4704.6241859206075,67825.31615345647,22637.933690276743,16263.510716764831,10242.786652020828,34402.22040333967,15248.091086822178,6128.516702864565,78077.86944599634,137.0366234075015,132.5690458175207,117.20420320255676,156.7126601489704,25.705828227012255,82.56367053401414,196.85603564510436,151,23,13.22,"(24.551284462434054, 1.062348021230374, 0.34698423053967614, 4.414554650597423, 57.12826721622531, 0.03787852048863364, 179.6526153824153)",151,23,13.22,"(24.551284462434054, 1.062348021230374, 0.34698423053967614, 4.414554650597423, 57.12826721622531, 0.03787852048863364, 179.6526153824153)",0.4559386973180076,0.4367816091954023,8.78169014084507,6.880042261521919,7,weightedmedian
epilearn_fullcurve,Brazil,NA,7,new_cases,17338.869842237244,26936.9000429031,135.26549008918764,17338.86984223724,12438.644168630519,7654.685382372386,26864.659498631092,12471.329500172746,2918.210986151523,62883.72064289681,21609.559533876018,14264.669136574934,9625.724048831069,31041.86553265087,16081.7760422542,3603.481276962824,70982.73096709282,135.26549008918764,133.21575856929095,109.3390559519015,160.12083850088266,31.838038241428514,65.44136515099612,186.34916013853626,37,28,43.08,"(77.70947836171047, 1.9990657812608652, 0.0874782704929693, 178.78052454464557, 87.7517602311191, 0.0028212016691203483, 179.8670040645145)",104,70,40.23,"(72.54265895288242, 1.6644183488471755, 0.045299350190489765, 178.8245133738988, 86.67993412209596, 0.0002772107610290355, 179.8670040645145)",0.5384615384615384,0.4461538461538462,0.8333333333333334,1.0531834608931392,1,weightedmedian
epilearn_fullcurve,China,NA,14,new_cases,6397.26538060279,12502.267871708971,55.441766998961675,6397.265380602791,2694.0267177293426,1290.4718093247782,8508.852784983634,8461.74963419829,1.151971583056777,46562.79744028905,7683.215732487306,3014.265530708791,1597.8000098465964,9574.672640145669,9862.803756743107,1.2699406439034895,53535.62972418294,55.441766998961675,37.98257814933193,18.82123782080051,63.684375774195956,51.622749837858755,4.404851520173807,199.71052351322615,75,9,10.71,"(20.480097113000074, 0.4384603575713262, 0.1487346742053218, 2.754282726926372, 54.664691323854385, 0.0028721649314572364, 179.81494510246995)",163,11,6.32,"(11.362174642685142, 0.22115235725185756, 0.08548780605628829, 0.9266198780029484, 41.38994159741007, 7.847681222558812e-05, 179.89952806579342)",0.4126984126984127,0.5793650793650794,2.7432432432432434,2.4886636718385757,2,mean
epilearn_fullcurve,China,NA,28,new_cases,11285.302371875761,20796.91506381797,74.05227070726507,11285.302371875761,6954.148756463618,2221.706501937738,16271.302897357364,13481.632369703488,1.3014680088775652,86910.71270951678,13706.318382759073,8564.58848761493,2610.6032574116884,20376.105136797305,15641.243958269419,1.3933580496436861,100259.75050012796,74.05227070726507,55.727313630170784,37.22956055431555,98.83487202923283,51.230183628765644,11.077569255924478,199.8041724098596,62,57,47.9,"(86.42709237178563, 17.782338056279578, 0.29633188809452793, 178.7861445901588, 86.85314923770018, 0.032080515082466426, 179.91343065772782)",114,60,34.48,"(60.68738251395316, 2.301423965730675, 0.2764255595937573, 177.4800110960302, 82.28927581114462, 0.032080515082466426, 179.91343065772782)",0.4476987447698745,0.4309623430962343,7.598484848484849,7.209895499009602,4.5,mean
