model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,exog_vars
svr,Australia,56,28,new_cases,12982.345871890084,17156.29703560369,130.86459050582434,12982.345871890084,13173.024048664414,12501.457605046067,14183.239466819168,1454.5680040382065,9351.420066832707,15540.03680723941,16482.31983835027,14384.113896441751,13406.413036005684,19768.476663025904,4761.476737335706,10015.161068146568,27717.644765806916,130.86459050582434,134.00257197926854,104.71216946363435,154.45512272992718,26.264875147026896,82.80808995566255,167.36653248552616,137,26,15.95,"(28.762765330712437, 1.1735936537525775, 0.6021504080793638, 3.3977833133323854, 60.476463945063266, 0.0067650159453946646, 174.0147187784138)",137,37,21.26,"(37.84855376134836, 1.2438672026664381, 0.6211224882978683, 7.653049570573018, 68.18875391288185, 0.0067650159453946646, 174.91037529796927)",0.74609375,0.18359375,8.446153846153846,7.14368333133976,5,death_recovered
svr,Australia,56,28,new_cases,7525.390246406756,16950.09777022371,166.31845402134599,7525.390246406758,6393.633822930139,4545.333047867263,11519.60090501012,3895.439622631758,2701.247283235655,15440.900053499547,14964.383653308587,11027.618427942107,9258.266031232937,22928.0621773941,7960.7183279358405,5987.510011790317,30817.23523836152,166.31845402134599,169.46851305157776,158.5445333473251,177.47029037953672,20.811045632929808,118.89504521563833,196.4176561226273,153,10,6.13,"(11.525595703739949, 0.95166060283833, 0.7512197456870248, 2.5908815298458188, 33.13984861439426, 0.4477375227757843, 170.58128956311572)",164,10,5.75,"(11.234268886041535, 1.0251209455662667, 0.7617315957760893, 3.761397659839086, 32.10570167252509, 0.4477375227757843, 170.58128956311572)",0.41015625,0.46875,8.655629139072847,6.756770784544833,7,death_stringency
svr,Australia,56,28,new_cases,19499.673695488178,21601.424045835873,143.47119014548156,19499.673695488178,20390.358056419387,16431.263664404603,22081.646056965335,3799.6217436306974,11653.93505969261,27898.85231068276,21221.20575268651,21851.751903023753,18235.1783427177,24242.890256173996,4035.0894922121856,12825.778793332462,30008.615227276918,143.4711901454816,144.21975677565712,127.2363873380313,157.85331828275127,20.01938997297774,94.33348408993251,172.99878769423813,144,19,11.66,"(21.882128292969444, 0.35017287372722117, 0.08147831147196256, 1.9697726018872403, 55.84695092301172, 7.153101556409068e-05, 179.5393899243778)",155,19,10.92,"(20.553521740701655, 0.4059186173881069, 0.08376458938350739, 1.8810691249230254, 54.294284227815886, 7.153101556409068e-05, 179.5393899243778)",0.62890625,0.33203125,5.978947368421053,4.940020990928831,5,no_exog
svr,Brazil,14,7,new_cases,24338.76386288558,27662.704776947852,132.49783277826106,24338.763862885582,23718.073146814422,20364.3097394356,26162.452132214352,5386.352191569057,15770.729571818656,47435.180042141445,26960.864702362363,25937.05610770345,23374.644916246645,27774.61493731676,6191.688790425815,19304.918052401437,57526.94422688521,132.49783277826106,134.13613885654246,110.2682930558889,151.65200442491792,22.634689764985,91.82942997304552,178.295825228928,39,27,40.91,"(73.66450361965568, 0.4299438422939531, 0.06790585868374131, 179.06209216658704, 87.63027060189778, 0.0017710314130842404, 179.4083541134531)",98,76,43.68,"(78.32892291816917, 0.6003077919958537, 0.030113500643627743, 179.27036788883353, 88.5115002353389, 0.00024177496720192038, 179.59496533390868)",0.9090909090909091,0.07575757575757576,1.8333333333333333,1.3291601358251257,2,death_all
svr,Brazil,14,7,new_cases,13671.548451883476,19833.53156858812,122.38184688246751,13671.54845188348,10256.815083958567,7393.300777096269,18794.923749617024,8888.52312378594,2427.70501224287,45123.688840535084,16443.02753408838,12498.526682863292,8900.865513792107,23589.286369608664,11090.348055646993,2700.3695890330496,58237.04845682823,122.3818468824675,130.7893614825421,101.86649890153086,150.6849080451168,32.32117019064738,29.72985794622257,167.8422513484792,53,13,19.7,"(35.971357274991455, 0.2850957692944912, 0.0643199910835595, 1.7251701850180128, 70.30836140931012, 0.0008723911856871159, 179.37494042083804)",138,36,20.69,"(36.38881965591112, 0.17304379291092975, 0.02692786760093145, 1.227665583933517, 70.4282868531146, 0.0007063470923082591, 179.6197551582502)",0.8333333333333334,0.15151515151515152,1.2727272727272727,1.9021518914592017,0,death_mobility
svr,Brazil,14,7,new_cases,12945.383514875697,19022.800224585524,120.37002300465431,12945.383514875697,10639.0966187386,6558.77180067537,17296.295877258774,8784.741214256317,1824.738573848768,43409.43601264288,15843.68141942873,12516.850664337733,7998.8761649664175,23967.257715884927,10528.280365954352,2583.071856148888,55230.901713517196,120.37002300465431,129.05051473736063,97.28348791520636,145.9868258736245,34.1318565791443,17.586794728981175,177.5978077440208,48,18,27.27,"(49.449195188182244, 0.3747709352485239, 0.05664146538887998, 176.2224457854303, 79.12154234040578, 0.0024822376330653085, 179.8105710852578)",132,42,24.14,"(43.39189934209131, 0.1612117757512118, 0.030334880365037734, 10.61583252079575, 76.00549736541552, 0.002002331650721945, 179.8105710852578)",0.6060606060606061,0.3484848484848485,1.3846153846153846,1.3878594475500199,1,death_recovered
svr,Brazil,14,7,new_cases,14126.676438641614,20240.83604923924,123.5019491630658,14126.676438641614,10234.184902212419,7641.95086831435,20480.332577200013,9231.82567888614,2714.4902609194396,46069.28269304767,16741.615105386456,12217.770938758535,9063.9156878721,23886.078411342743,11375.841403398643,3114.399196856223,59182.278161351554,123.50194916306582,130.11698941286738,101.13792334816624,151.99818922873814,31.172089745156804,32.764982618737335,168.04497516712783,57,9,13.64,"(25.63580505440586, 0.18835318242365498, 0.045590709789767564, 0.9477585099167136, 60.7861391058308, 0.0006782940319964334, 179.18484594442407)",153,21,12.07,"(22.03216179469716, 0.11027130261127314, 0.02413051167597751, 0.6537421954399434, 57.18141938277492, 0.0006782940319964334, 179.45007551457968)",0.8939393939393939,0.09090909090909091,1.7142857142857142,2.0586634591635513,1,death_stringency
svr,Brazil,14,7,new_cases,15093.342820279982,20231.24779552306,121.00247137380184,15093.342820279982,13159.630500953968,7545.901679826819,21471.306518135512,8644.954571479831,3378.573852191942,44498.9364247585,17545.349980482035,15238.182877385645,9281.82702046639,25129.537776521185,10072.93807318678,4027.578615328228,51731.14907392929,121.00247137380185,128.1343158327416,104.51682672154917,138.40858616350553,29.362427274619517,33.04130646519254,169.8825607868813,47,19,28.79,"(51.12150439171656, 0.22542063006265461, 0.04701253104903993, 176.70000382085917, 79.50705227253863, 0.0016132892368991435, 179.73732252277276)",134,40,22.99,"(40.929249353299426, 0.17099869668588988, 0.031160088973235904, 2.0038027366852402, 74.20507696562063, 0.001113239993095013, 179.73732252277276)",0.7727272727272727,0.22727272727272727,1.7333333333333334,1.162919151265879,2,no_exog
svr,Brazil,21,7,new_cases,24318.703993481835,27696.81856623708,132.42520545026667,24318.703993481835,23435.365817149563,20366.48878657302,26165.198016795282,5409.491066508574,16194.698733637799,47675.38809562324,26980.344370130562,25848.494176921646,23360.305006728515,27756.196774073895,6258.975663814269,19317.31979220561,57997.91445597401,132.4252054502667,135.49654715671255,110.29605930837963,151.20364383508942,22.318329082834612,92.50386747432694,178.3141099071796,39,27,40.91,"(73.66647933542329, 0.4744538725900491, 0.07420174006077865, 179.07340384063534, 87.61045918173109, 0.00669827552965758, 179.44114304373522)",97,77,44.25,"(79.35215692044903, 0.7518861273350438, 0.026430040732639472, 179.29564892547862, 88.52367811780671, 0.00011120720526339938, 179.59299542881976)",0.9090909090909091,0.07575757575757576,1.8333333333333333,1.3291601358251257,2,death_all
svr,Brazil,21,7,new_cases,13924.682062290784,19832.65105494029,122.37720556944622,13924.682062290784,10557.32723231677,7732.62712994431,19611.293334418766,8797.550827591711,2542.6534934191127,44796.580723217325,16552.140048653993,12553.763591980758,8745.74385377959,24056.22694001782,10925.232614309349,3002.266480367504,57449.398410489724,122.37720556944623,131.13444384556692,99.69690520549979,147.47196673138126,31.14731009991716,30.69444782514311,165.01290603556993,51,15,22.73,"(41.123788412243464, 0.2974668046730157, 0.05136155827102826, 2.470234953304854, 74.50241832705261, 0.003162449861862192, 179.5689571507777)",134,40,22.99,"(40.93487531835336, 0.16057119746159682, 0.027305450587987463, 2.4945879682528926, 74.26788566752832, 0.001062867926543328, 179.62803849902863)",0.8787878787878788,0.10606060606060606,1.625,1.5979898086569353,1.5,death_mobility
