model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,exog_vars,curve_func
curvefit_lstm,Australia,21,7,new_cases,35365.0181403114,36096.735601386004,161.40767835791286,35365.01814031139,35576.7694264582,34119.365802238404,36622.430255363404,1653.2784990388654,32270.764264627844,38559.59662974852,36071.478985848444,36283.86938694476,34974.8439728483,36855.802149010415,1350.0832751581158,32931.876350492814,38705.683602881996,161.40767835791283,159.71125269689864,150.35774504159988,173.2417568818589,14.175641962336455,135.55231204346083,183.43199682393998,38,18,32.14,"(56.30460856208991, 1.1613613832753429, 0.22124441313213158, 171.57402878891742, 78.49047806956237, 0.0012510262570565546, 178.86623524509608)",137,37,21.26,"(37.72774543431558, 0.39063778559822626, 0.13464684877034816, 5.353025372410016, 70.59389650199284, 0.0006640030470357511, 178.86623524509608)",0.6666666666666667,0.2857142857142857,2.4285714285714284,0.9783367810436532,2,death_all,gompertz
curvefit_lstm,Australia,21,7,new_cases,36546.333866380955,37281.99947275861,162.03663987130813,36546.333866380955,36511.162535539945,35405.98242406534,38013.5494352191,1560.0200263364497,33475.32815661976,38814.72271620401,37260.27066772675,37598.09495400654,36107.59182152384,38469.69338774056,1272.6800283320993,34792.458778605986,39148.317532100285,162.03663987130813,160.9156041440746,151.19765355455888,173.76776953185674,14.181352841891743,136.70470246326434,183.8434799655749,47,9,16.07,"(27.861567525979815, 0.3302826821801358, 0.11663612076053886, 6.23387930195672, 58.92529042080579, 0.00018259612814735168, 174.42307926431843)",142,32,18.39,"(33.5857076025242, 0.23319874635055438, 0.05159052213089885, 6.343332701742552, 65.46979323774633, 0.00018259612814735168, 177.17818894478017)",0.6666666666666667,0.30158730158730157,2.0476190476190474,1.1608699529314417,2,death_all,logistic
curvefit_lstm,Australia,21,7,new_cases,37000.63827604473,37783.723329865556,162.19872495689268,37000.63827604472,37186.848196686995,36016.44440680034,38275.30029280865,1669.0211890115902,32966.42149119034,40404.933029371845,37759.344476775346,38015.02690666016,37128.55273328716,38611.26560223864,1357.0752934313125,34495.436850400016,40422.28328237491,162.1987249568927,159.9373863107024,152.1022668399001,174.9850798621432,14.137060558923235,136.01411251267945,184.96043226134435,40,16,28.57,"(50.66490480168926, 0.7824660004969413, 0.16973841330902734, 166.180057593012, 76.54530009528344, 1.058009309997885e-05, 178.58092518123868)",142,32,18.39,"(32.851886925212106, 0.30346867736442784, 0.09584799515556064, 3.4634922188553308, 66.96738068447571, 6.136564072184844e-06, 178.58092518123868)",0.6666666666666667,0.30158730158730157,2.380952380952381,0.9206622874969125,2,death_mobility,gompertz
curvefit_lstm,Australia,21,7,new_cases,35601.58523102187,36333.17889580293,161.6413147251555,35601.58523102186,35417.83764322691,34727.80414364544,36369.681110937556,1626.265660192895,31621.603721630927,39230.53150177879,36308.258002328395,36188.75509508806,35682.773886275376,37014.0367459517,1345.4699962374648,32522.85598437197,39263.0754542109,161.64131472515544,160.34626485523887,151.41119792175357,174.0757391507572,13.931104654552563,135.97953690878134,184.34653074922488,45,11,19.64,"(33.43302890201718, 0.30303302571962293, 0.05069147582689128, 6.550192900316323, 63.299588889227735, 0.005751190132462294, 173.48542027654312)",147,27,15.52,"(27.15173696332644, 0.1227445483004306, 0.03800088216429309, 2.9664917640236705, 59.21801534674585, 0.0030195346242053787, 177.9645698396816)",0.6666666666666667,0.30158730158730157,2.0952380952380953,1.1791845447071423,2,death_mobility,logistic
curvefit_lstm,Australia,21,7,new_cases,24144.905478414148,25385.96225578141,153.9856963216378,24144.90547841414,24064.359429692715,21193.354736168014,26732.719571991824,3319.608753718021,19219.495221659083,30655.099347635656,25153.899952677806,24676.339721517143,22237.858519998383,28201.472411932464,3424.6747031848313,20158.84950443511,31556.67874469467,153.98569632163776,152.49480504625745,143.3727619111097,166.26981059456583,14.308304972818279,122.02195126136614,182.00048224696928,42,14,25,"(45.766557779062396, 2.001791357494329, 0.17132339953471043, 87.34189900024404, 73.32967223154066, 0.009072357461490889, 178.47000102514284)",119,55,31.61,"(56.457868925551786, 0.5042858205164075, 0.09124371741809852, 174.8752068025544, 80.99310840680525, 0.0006630644168914801, 179.15052159506055)",0.6666666666666667,0.2698412698412698,2.6666666666666665,1.0645812948447542,3,death_recovered,gompertz
curvefit_lstm,Australia,21,7,new_cases,23870.674354978644,25078.30168917984,153.74682347485228,23870.674354978637,23484.684647705122,21114.818495626452,25855.80642810414,3151.0969044200247,19404.707725537166,30451.23277828548,24858.01502330905,23976.634261887208,22117.940805330705,27287.536820612113,3316.6707274708465,20143.903313791812,31849.253743954483,153.74682347485228,151.36319343369772,144.065206988672,165.0085076258748,13.840846271927727,124.28765843732504,178.59585778379883,41,15,26.79,"(47.15761618516651, 0.3090930012544903, 0.126365152020868, 120.41737348542918, 74.49989150364021, 0.0006703343983814192, 178.21657043215075)",147,27,15.52,"(27.54003549841433, 0.22229143953119795, 0.06598108603435199, 2.0869665817922325, 61.512185457344714, 0.00017682710187455654, 178.9917789833572)",0.6666666666666667,0.25396825396825395,2.619047619047619,1.023532631438318,3,death_recovered,logistic
curvefit_lstm,Australia,21,7,new_cases,25449.09197365289,26540.944253145622,155.11358222788147,25449.09197365288,24663.843575453735,23190.9772250073,27102.45132121162,2396.6154965825526,22104.657331034083,30980.58376004986,26425.35304865398,26299.948319222334,24131.73118777078,27500.9049413486,2474.3560985795098,23118.152394784192,32497.161113015747,155.1135822278815,152.82426746115806,146.14213462069648,166.67248033389905,13.739063890654489,128.29697112855308,178.3544386084879,38,18,32.14,"(56.78919845096277, 0.9473350605873996, 0.1592254018436472, 171.46111880539152, 79.28778710421997, 0.0015598279713021066, 178.63095128080832)",143,31,17.82,"(31.922915313527525, 0.2717887397175448, 0.09727755866106957, 2.805515072468782, 66.20738583322667, 6.572876863071647e-05, 178.63095128080832)",0.6666666666666667,0.25396825396825395,2.7142857142857144,1.1019463300386796,3,death_stringency,gompertz
curvefit_lstm,Australia,21,7,new_cases,26246.170206318377,27351.72807839101,155.71283434386493,26246.17020631837,25825.931916385383,24802.52507892025,27903.527142124767,2604.2112913218316,20663.196146296097,32862.107359758695,27231.873636214514,26823.10015038719,25668.950152117002,28349.15456018277,2557.75040523662,22180.254349713334,34205.90604943598,155.71283434386496,154.67670716911525,145.5864771758067,166.9556423802194,14.062030562589365,128.11470519822626,180.31467053427298,43,13,23.21,"(39.94176826760226, 0.4394509780488147, 0.12323957110378952, 54.73880922587139, 67.7651922969746, 0.0025592402592957797, 176.85597115482344)",147,27,15.52,"(26.850491337343513, 0.2458954880673425, 0.0854748241451782, 1.8529460469872294, 59.79923163464237, 0.0025592402592957797, 178.0480241855785)",0.6666666666666667,0.25396825396825395,2.6666666666666665,1.1105554165971787,3,death_stringency,logistic
curvefit_lstm,Australia,21,7,new_cases,24063.938142129806,25205.41325583296,153.9955121426281,24063.9381421298,22973.40286674837,21689.819300900155,25974.08599219272,2915.923406509211,20598.291628353432,30095.179742192715,25020.42468396404,23787.587986357736,22665.1906644974,26100.890058833596,3048.147967439007,21886.838050147457,31540.646939926544,153.9955121426281,151.3596332512027,145.0195481801313,164.69768987609115,13.646271431359022,124.28272650617546,177.58401035965858,47,9,16.07,"(30.18067790502215, 0.22636484254381445, 0.06935345562915501, 14.07258686883274, 58.54342128922009, 7.410091428445885e-05, 173.18282631017178)",159,15,8.62,"(15.785865688372928, 0.10976540356454628, 0.03905309042015459, 1.2144163631439804, 45.269046571921734, 7.410091428445885e-05, 175.73851214821516)",0.6666666666666667,0.25396825396825395,2.5714285714285716,1.2478553029669976,3,no_exog,gompertz
curvefit_lstm,Australia,21,7,new_cases,23559.952233685817,24733.495615981177,153.56578709818174,23559.952233685817,22355.39000484798,21265.689350683646,25583.02700261584,3004.3430383988143,20065.724745626452,30165.777002615836,24527.64149849275,23117.705032268623,22067.746838652813,25748.006531689553,3184.432116905047,21217.73899816873,31603.201500551346,153.56578709818177,151.23331102938408,144.0572985026185,163.92685204175717,13.756228116747003,122.73776028614252,178.4102655481036,46,10,17.86,"(29.275788701790116, 0.09583574026766634, 0.05124349183981776, 5.910640678535978, 58.1058546423302, 0.011046989475606188, 170.1973738718435)",161,13,7.47,"(12.337528032002394, 0.08087235165017055, 0.040761571739113364, 0.6782097228059732, 40.30560885650544, 0.011046989475606188, 176.94917168745786)",0.6666666666666667,0.25396825396825395,2.7142857142857144,0.956182887467515,3,no_exog,logistic
