model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
arima,China,NA,14,new_cases,6843.457295183543,11433.706739996875,56.03069013089933,6843.4572951835435,3860.463958879611,1827.680634847798,11618.37640611322,6919.5184423310575,285.29391135012384,44191.629831588325,8162.698740288456,4589.163609210031,2148.00662230533,13886.139410484837,8006.247503764994,377.5996509036238,46354.600729144964,56.03069013089933,38.53926066062178,19.352728230901498,67.38081694626733,51.046979426056566,4.386468380193599,199.88866812790172,death_all
arima,China,NA,14,new_cases,6823.797419467593,11430.272216267276,55.926816375783275,6823.797419467593,3778.8096083055016,1829.4014876494748,10933.127397444661,6915.349313496382,281.110191614038,43941.19669550651,8155.827633195459,4514.408981625146,2212.9715832655006,13724.048676290864,8008.345556703769,365.2672533689548,46096.103911940314,55.92681637578326,38.42506233681273,19.5272599861852,67.37944064514036,50.96802375633645,4.314112382224022,199.88690244451658,death_mobility
arima,China,NA,14,new_cases,6824.23010712569,11431.361713644417,55.843587283293516,6824.230107125688,3779.2490411046033,1829.107851773481,10933.12739709557,6916.343282528425,281.03652170815565,43941.137377784406,8156.292565712188,4515.234286473132,2212.9363182226857,13723.979807061938,8009.427083798412,365.3024712720987,46096.047165518205,55.84358728329353,38.4206140549514,19.526193142420077,67.37933057759712,50.7546888628104,4.31302741371526,199.88694738974044,death_recovered
arima,China,NA,14,new_cases,6829.406495452744,11423.38149640681,55.99159478453242,6829.406495452742,3891.7449920074337,1808.7125865447485,11401.171464218158,6918.769344105283,285.97624684060054,44173.65266880089,8149.073113909631,4553.55079373703,2127.1708035884667,13759.99954759558,8005.388947240773,378.3297336387196,46336.64743961262,55.99159478453241,38.53477337252775,19.351716087924096,67.38171928000847,51.02638106675398,4.39731695802796,199.88985199051098,death_stringency
arima,China,NA,14,new_cases,6758.743373397774,11320.609222925834,55.71893455571741,6758.743373397772,3761.3301679941796,1829.1448307060036,10641.781863560114,6827.494141576446,281.03091695398865,43904.04587529459,8085.459844580367,4502.718203278755,2212.9236856355597,13276.628401930106,7923.479808762806,364.65084251472945,46061.02703579799,55.71893455571741,38.413216202744955,19.527072931512976,67.23119098119666,50.89709115960647,4.312671590038081,199.8887282990965,no_exog
arima,China,NA,28,new_cases,9267.649575769417,14447.72952279805,72.69021226164558,9267.649575769417,7202.850328125882,2920.618442776773,14093.20625353382,7658.328570895747,681.1726514609798,50935.886948182,11271.20148627933,8464.084616688153,3767.255716979036,17721.800515405164,9038.63404611698,920.6531792307458,52553.26552234085,72.6902122616456,51.94546854962765,35.8631260657821,93.13301525963946,53.95510571538217,9.931599731380123,199.93304160134048,death_all
arima,China,NA,28,new_cases,9255.742561920104,14461.893450102105,72.69173162549288,9255.742561920104,6848.391001767801,2938.7770158550966,14094.023985631145,7687.119726205804,716.0125929415842,50732.507399636845,11272.463521945141,7587.706276895977,3912.242750557239,17656.104180181166,9059.686987336941,980.7452909416693,52356.72796188215,72.69173162549288,51.86840437182075,35.060363716062895,93.16768056984003,53.874445811422916,10.45973324376165,199.93991862087054,death_mobility
arima,China,NA,28,new_cases,9255.407648078872,14461.891567628076,72.6492964549951,9255.40764807887,6861.58748442272,2938.9053756172793,14094.510912231439,7687.0076961013965,716.0512946224748,50732.44211240705,11272.442729869257,7597.9690634019025,3912.736767413802,17656.242396254856,9059.709852729815,980.7842743340278,52356.664318837284,72.6492964549951,51.86851662318958,35.06046921022156,93.17119259702271,53.77763132338468,10.460329755514586,199.93970489691085,death_recovered
arima,China,NA,28,new_cases,9257.332590943226,14441.964766644945,72.66647006682136,9257.332590943226,7023.163243100484,2869.9379556539707,14092.864671728286,7660.054040705335,681.0794695138401,50916.696048757934,11262.510502877307,8454.685419284997,3730.297677034296,17723.498335915763,9040.25461442278,920.2778890908473,52534.21113538581,72.66647006682138,51.9503234502147,35.145967500121586,93.1607747247889,53.95402750377194,9.930223973131245,199.93377106093232,death_stringency
arima,China,NA,28,new_cases,9173.6557468296,14351.519625357947,72.48296950832261,9173.655746829601,6836.064437901171,2938.413298179651,13752.062672791966,7603.493397906641,715.6435753276797,50690.81310634147,11186.920941228049,7598.35148184711,3910.9754819170907,17650.112597029514,8989.934116096045,980.3601696144503,52315.88404792359,72.4829695083226,51.86464520722857,33.964133962392616,93.17256259104691,53.8532756978531,10.454047550905155,199.9407885411253,no_exog
