model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
lstm,Australia,28,14,new_cases,18515.948739689167,21682.884657328275,138.32900717977873,18515.948739689164,18645.688581194197,12944.802455357143,23679.444719587053,6505.4700663291605,7476.403738839285,29536.544921875,20630.15112230612,20856.272352932236,14544.52706640165,25874.360169068776,6674.155507164449,9762.230291491718,32322.162983546357,138.3290071797787,140.78852703312555,130.45855564311137,157.69473794174985,28.18347687767776,49.049163662646755,177.9759621844926,death_all
lstm,Australia,28,14,new_cases,11202.566465918066,16185.184823232106,120.72319315634019,11202.566465918067,10688.727416992188,7399.210806710379,13954.341055733817,4555.3506745615605,4204.937552315848,22768.803780691964,14853.900205695956,13091.092593941396,9697.573550050913,18678.53486799496,6428.207871670658,5622.363034085609,29167.698411063728,120.72319315634019,124.22428715446934,93.09247431077884,146.97403213538263,34.89356793366093,35.5770274569752,180.80380744490284,death_mobility
lstm,Australia,28,14,new_cases,31145.722995286702,39090.496563757995,153.22669259401061,31145.722995286702,25278.403041294645,16218.382472446987,42768.50526646205,19313.143208209003,5300.103428431919,72977.18415178571,33960.90554139991,28476.271465314265,19027.5753268189,46509.08370848565,19357.784387922315,7097.5068584889295,78406.86914283007,153.22669259401061,152.82291147875816,138.66154620188792,165.57855181260902,20.921198145102814,104.7109302100321,200,death_recovered
lstm,Australia,28,14,new_cases,13104.767868264262,17751.34338530297,140.22521630237856,13104.767868264262,10159.159954616003,6808.964935302734,19131.806675502234,6996.127507630028,3235.2368687220983,28857.757254464286,16165.842254375568,15496.541767205075,9614.780076824425,21860.682306181192,7333.194132817223,4449.381460022199,31082.000244537867,140.22521630237853,138.83755138304588,120.19167954802609,166.20905938292717,39.426016303720026,34.81234385952862,200,death_stringency
lstm,Australia,28,14,new_cases,55316.22478869083,77050.36585588848,178.52132976969847,55316.22478869083,27676.037806919645,17322.62828063965,92184.35518973214,45904.099717248624,5288.715585981096,150214.48032924108,60610.20190657654,31661.756881099613,23357.32885470806,96466.04187348983,47572.70544514251,9824.198578776159,162696.10954087274,178.5213297696984,200,154.07112659177426,200,35.66485509343849,85.18945827491586,200,no_exog
lstm,Australia,56,28,new_cases,20925.40467972278,23001.470820521292,146.61829640403005,20925.404679722786,20034.67796107701,15928.207153320312,25746.132516043526,5685.708593417693,11008.114868164062,33464.287109375,22249.625142139714,21321.101519000436,17293.281503826227,27598.16059789228,5832.824439459551,12435.222331038054,34910.20977092971,146.61829640403008,146.6687173587778,133.90341682598583,158.60149026288389,16.62740832105665,114.2799064773923,172.52587371043643,death_all
lstm,Australia,56,28,new_cases,50639.30525976723,54264.83005920196,164.73975507207223,50639.30525976722,50475.191057477685,46683.70418875558,57416.56305803571,9146.398743715466,27478.73957170759,76562.60881696429,53524.97293143837,53774.479978776864,49899.70296401721,60073.49753817846,8930.232586156837,30531.314108985476,78494.15835227954,164.73975507207223,161.70223148378648,155.91518268978712,174.27548958186898,12.118501546273217,145.70290940019018,187.13255475799872,death_mobility
lstm,Australia,56,28,new_cases,20692.213401343044,27033.181684829924,152.95113821524384,20692.21340134304,17930.06950378418,12336.410246712821,28979.99607685634,10088.073148665402,3917.634538922991,45000.00299944197,24773.85298907826,22996.620082909525,14892.924615553336,32905.05672830892,10818.924164655304,5632.981752306381,48283.64460016594,152.95113821524384,145.78039951755468,134.09230124607515,183.54328458301802,31.111111935365564,66.9836759067482,200,death_recovered
lstm,Australia,56,28,new_cases,44712.982530515575,48257.92028637912,161.83940380814104,44712.98253051557,42121.029122488835,37724.44081333706,51252.76738630023,10889.432106789247,24746.76492745536,77974.12095424107,47077.800879835806,44363.37098828168,39933.382029454704,53878.769026802285,10606.956900310865,26901.443204218605,79373.88422257116,161.83940380814104,163.07802742480385,148.6305675772464,173.59193193752196,15.518155001130186,130.17738896418538,189.41711863363827,death_stringency
lstm,Australia,56,28,new_cases,28311.259346620398,33336.403268693066,151.4696551379136,28311.259346620398,27804.496686662947,25182.424049982004,30182.7117527553,4214.5977076993195,21668.342219761438,41171.873325892855,33099.17653078472,32610.317043101262,30123.851368857388,34705.52191990845,3969.9239132355597,27521.345093818687,45586.48681681404,151.46965513791363,151.3927927237545,138.9563425708983,162.01338012707953,15.228138614830863,121.44038816122224,180.23423980502716,no_exog
