model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
cnn_lstm,Australia,28,14,new_cases,19760.533183681946,22021.920074252674,142.05333374597654,19760.533183681946,19598.45584542411,16738.551670619418,23172.36617606027,4386.21043963509,10756.85386439732,30048.127371651786,21448.61679784035,20939.530275553363,17847.783570748645,25549.812596298667,4992.173996985051,12069.929754036713,32260.240416015746,142.05333374597652,143.87808741370014,128.22928830778693,159.371450434952,20.910730012696437,87.71625462762466,179.20026494247367,death_all
cnn_lstm,Australia,28,14,new_cases,24430.95027302208,30004.03921101958,141.08481149447022,24430.950273022077,22230.813895089286,16441.22114944458,31422.549647739954,11904.95776958542,5055.734148297991,69240.4892578125,27303.136838929568,25615.901137152752,18960.55838448608,34809.746041107835,12441.104763287212,6303.643250160757,73961.93598579409,141.08481149447024,142.87605953845443,122.1843105866461,158.9429336781159,25.48628489158695,91.79824848920671,189.52702097304,death_mobility
cnn_lstm,Australia,28,14,new_cases,31582.776482257155,39379.15534322394,151.2849180624069,31582.77648225715,29537.450753348214,13242.083443505424,48426.317173549105,19140.104864142613,3693.313450404576,70814.63811383929,34154.45660534061,33168.590166149195,15144.25804035557,51010.563098825674,19600.790023355385,6241.444565907205,75433.26830936784,151.2849180624069,152.30082970914395,138.19255901044937,162.01233419205064,24.00738977471822,89.47319716190576,200,death_recovered
cnn_lstm,Australia,28,14,new_cases,10228.192858381224,15130.436402962117,123.78197900270284,10228.192858381224,9379.336199079242,7742.159449986049,11918.086757114956,3023.139409806192,6111.088030133928,17505.004534040178,13602.49555057064,10592.416638903384,8396.185065873826,16864.88808402193,6625.875077360512,6461.537222970081,28396.45873570513,123.78197900270284,130.91340032146118,98.59350084289609,147.22514355005933,31.945299076166652,46.96090850552829,178.4439803079192,death_stringency
cnn_lstm,Australia,28,14,new_cases,20935.231802503462,22741.71031560549,144.98301777656283,20935.231802503462,20187.386579241072,16962.920445033484,24441.18802315848,5537.031356669515,11215.992954799107,34156.27162388393,22033.134248938208,21068.952030389388,17663.40521170861,25865.753146216393,5632.617797009073,12550.730445576577,34769.2864467665,144.98301777656283,149.36647854490394,134.57743612662048,157.55954455932917,17.796629595044507,99.63195853511334,171.86213946799197,no_exog
cnn_lstm,Australia,56,28,new_cases,25049.166755763963,27971.617754291616,148.77785258504298,25049.166755763963,25838.59322684152,22773.19050816127,27790.04150390625,4702.242408701955,14615.964599609375,35577.949497767855,27587.525990004266,28393.409121999044,25717.59267339539,30381.545309167297,4619.503170584616,16420.47271780913,37552.88190668638,148.77785258504295,151.16372168640646,133.1162363708178,160.53254747724355,17.973841892434972,112.34657603534973,179.46417030374386,death_all
cnn_lstm,Australia,56,28,new_cases,20858.26213126347,23111.43671155613,146.21742237749456,20858.26213126347,20317.180960518974,16692.032239641463,25374.973161969865,4939.11273910405,10964.404767717633,30967.282645089286,22525.90616226647,21893.599657945866,18337.08996325649,27530.95558874199,5169.338298179936,12250.993066468665,32288.914466631733,146.21742237749456,148.2774826813341,132.88122670008505,161.1374511447313,17.40246811110858,102.06203746860842,176.85067175301535,death_mobility
cnn_lstm,Australia,56,28,new_cases,17012.832518518608,21673.691729636717,138.61083250794601,17012.832518518608,17179.669704880034,15193.55497278486,19285.744574410575,3296.070164589603,9935.928500584194,25629.96344593593,21269.690516909453,21476.48871161253,18599.823033847493,24672.96643807693,4165.234507949709,11737.347391591778,29734.634420118826,138.61083250794601,142.23515551416025,117.10302639007733,154.75520333510065,23.764321060898045,88.99490153166239,181.12447636124983,death_recovered
cnn_lstm,Australia,56,28,new_cases,16134.128331677666,19857.70090179291,137.6515942310228,16134.128331677666,16107.101082938058,13766.476501464844,18607.003413609098,3255.725794761496,9136.52064732143,24618.98668561663,19356.20314457549,19146.192993750188,15698.851104784324,23028.74051430548,4434.600876177324,10334.898924257925,28601.226258136423,137.6515942310228,142.08400149738634,117.16378865742207,155.25994070830725,22.041464718816467,95.62982869331782,175.87183657646753,death_stringency
cnn_lstm,Australia,56,28,new_cases,8663.634575679385,15126.14989377465,118.4415664320942,8663.634575679385,7548.512335641044,6471.235020228794,10937.698012760708,2747.374274557703,5331.825343540737,14857.789511544364,13458.870640358835,10124.882589545217,8103.47098924985,19394.733538069377,6903.565143824299,6063.450594170222,28652.771110935948,118.44156643209419,119.76449810183668,86.1067806221244,142.80449523537763,33.77512638248704,64.89412428918212,176.78304914346623,no_exog
